"Domain authority","SM_Ranking","Organic Traffic","Organic Keyword number","Paid Trafic","Paid keywords","Backlinks","Referring Domains","Pages/Visits","Average visit duration","Bounce rate"
"87","5500","22000000","7800000","0","0","30700000","213800","1.6","06:44:00","75.71"
"75","1800","6600000","573000","25200","604","28000000","85900","2.3","04:59:00","56.47"
"76","16","21100000","1100000","2600000","32500","4300000","12600","3.57","09:25:00","48.45"
"89","1200","42200000","976700","716900","1800","1500000000","141600","3.3","09:58:00","47.28"
"100","70","334700000","37100000","4700000","54900","11400000000","3700000","1.84","09:31:00","65.91"
"73","96","4400000","994200","18200","303","11300000","16900","3.59","10:10:00","51.74"
"52","315","1400000","274700","35900","174","4200000","4700","3.32","06:07:00","45.99"
"72","2300","5700000","711300","120400","1800","44300000","61300","2.49","06:23:00","52.07"
"43","1400","261600","114800","8000","74","555400","5700","1.27","09:05:00","84.30"
"61","233","1900000","285400","440500","4400","1100000","7500","1.48","08:50:00","81.39"
"29","39900","4800","19500","104","4","63100","3600","1.9","06:05:00","72.63"
"74","25900","3500000","2800000","108500","1100","49700000","109400","5.03","10:24:00","44.29"
"37","1800","189900","90400","7100","691","347400","4500","4.53","07:34:00","43.28"
"83","1000","16600000","1900000","68100","336","64000000","173000","2.31","06:37:00","57.07"
"62","115","3600000","435300","275600","7800","2900000","7100","2.34","07:59:00","52.52"
"58","178","2600000","669900","21300","1000","24100000","11600","1.61","09:56:00","75.62"
"53","647","638500","276800","163700","4000","5100000","7500","1.92","02:09:00","58.10"
"51","1000","372400","153500","79000","1600","3400000","3800","2.42","09:57:00","66.16"
"91","8","43200000","3500000","1300000","21900","23500000","18400","4.42","14:43:00","35.82"
"70","154","2900000","249700","192600","3000","47100000","15900","3.52","08:09:00","42.22"
"73","37700","11000000","3500000","17800","248","18500000","63300","5.33","23:43:00","67.11"
"38","2600","120500","30300","8500","80","118500","4100","5.41","08:25:00","43.06"
"41","2600","122800","89100","761","17","331600","2900","1.85","05:40:00","61.26"
"55","544","781200","340800","147","4","8600000","13200","1.24","05:39:00","85.56"
"52","1000","358400","108900","4800","65","2900000","6900","7.71","18:55:00","20.77"
"59","250","1800000","115800","119200","651","716600","5600","4.32","08:04:00","38.82"
"80","1600","13800000","2600000","955","21","5500000","27600","3.84","05:29:00","40.20"
"72","46100","2200000","7300000","4600","173","115200000","445400","1.35","12:21:00","86.74"
"67","87","4600000","365700","150900","1900","1500000","6100","4.55","08:16:00","44.02"
"100","162","139000000","9000000","11800000","160500","209900000","347500","3.33","07:20:00","52.97"
"41","216500","95100","68500","0","0","71300","6500","1.27","03:58:00","82.88"
"39","5500","52000","46700","2800","82","2900000","8300","1.52","10:31:00","79.87"
