Domain authority,SM_Ranking,Organic Trafic,Organic Keyword number,Paid Trafic,Paid keywords,Backlinks,Referring Domains,Pages/Visits,Average visit duration,Bounce rate
72,3.6K,4.8M,771.8K,153.9K,2.2K,58.6M,80.5K,3.14,7:02,52.20%
44,1.6K,209.8K,147.5K,161.6K,747,454.5K,5K,1.79,7:06,68.86%
96,143,66.5M,40.3M,4.6M,25.3K,874.1M,290.3K,5.52,12:49,39.68%
94,3,155.5M,8.8M,3.6M,28.4K,162.2M,89K,7.08,14:13,32.15%
62,118,3.6M,2.2M,17.4K,405,2M,4.4K,3.08,10:12,55.27%
100,211,837.8M,127.3M,124.8M,3.3M,12.3B,3.5M,7.15,14:12,32.32%
98,4.9K,251.4M,10.4M,39.8M,125.3K,515.2M,167.6K,6.8,15:31,31.57%
70,93,4.5M,1.8M,220.8K,15.5K,31.5M,6.8K,4.45,9:38,45.90%
76,3.9K,7.8M,936.7K,71.8K,2.4K,61.9M,105.3K,2.15,6:59,58.98%
42,224.8K,64K,13.2K,4.1K,42,29.7K,3K,3.81,5:47,55.63%
53,33.2K,314.8K,210.5K,177K,7.8K,2.8M,11K,3.62,13:49,43.38%
83,953,19M,2.4M,163.1K,2.7K,122.7M,145.8K,3.35,8:43,47.17%
60,21.2K,658.5K,110.1K,12.3K,337,516.3K,16.2K,1.74,5:04,65.30%
40,21.5K,31.3K,84K,151,24,413.3K,7K,1.7,12:41,78.28%
100,1.1K,180.7M,29.2M,315.6K,452,736.5M,725.3K,2.3,10:59,58.30%
94,10.5K,53.4M,10.9M,2M,19K,44.7M,149.6K,3.96,8:35,39.80%
75,11K,4.4M,3.6M,229.7K,18.9K,51.5M,128.4K,2.52,9:53,57.20%
99,59,195.4M,27.4M,89M,1.2M,2.1B,330K,5.54,14:49,34.03%
48,1K,364.5K,57.5K,19.3K,264,415.4K,4.9K,3.75,10:33,52.89%
63,492,861.7K,201.5K,24.4K,371,1.1M,4.1K,3.68,10:36,50.85%
45,1.2K,307.8K,19.1K,19.6K,354,88.3K,2.3K,2.24,4:12,60.27%
60,210,2.2M,219.1K,53.1K,432,1.3M,6.8K,1.56,11:07,79.83%
80,37,10.5M,726.4K,662.3K,6.4K,7.1M,9.3K,2.15,7:42,54.11%
82,12,27.9M,5.4M,814.6K,14.7K,971.7M,24.7K,2.3,5:06,55.26%
36,4.1K,71.8K,48K,1.7K,40,134.9K,4.7K,1.14,3:21,92.12%
65,96.3K,2.4M,397.2K,113.8K,1.3K,2.6M,29.3K,3.94,8:22,36.76%
51,121.4K,200.1K,247.5K,63.3K,220,54.9M,77.1K,1.82,11:45,66.65%
49,2.7K,117.2K,63.7K,0,0,2.4M,6K,1.27,11:41,90.31%
49,2.7K,117.2K,63.7K,0,0,2.4M,6K,1.27,11:41,90.31%
39,4.3K,68.5K,64.2K,30.3K,683,4.4M,2.1K,2.28,4:51,57.81%
13,337.5K,12.6K,18.3K,137,11,7.1K,529,4.27,9:10,50.39%
62,391,1.3M,255.8K,3.8K,171,3.5M,26K,1.1,8:52,91.19%
50,277.2K,349.4K,85.9K,35,7,184.5K,8.7K,3.46,10:44,45.25%
73,89,4.5M,337.6K,139.4K,1.2K,1.2M,6.9K,3.29,10:08,46.40%
55,148.1K,1M,327.6K,45.7K,458,406.3K,10.9K,1.23,8:51,87.01%
85,764,22.4M,4.1M,1.9M,49K,85.4M,211.1K,3.7,9:48,48.14%
51,154.5K,241.9K,190K,25K,1.1K,261.9K,12.9K,2.99,4:06,33.46%
89,358,33M,2.9M,74.6K,213,231M,170.4K,2.85,7:49,44.93%
100,1.6K,101.6M,60.7M,1.6M,209.9K,3.9B,522.1K,7.7,16:08,30.61%
100,1.5K,102.4M,60.9M,1.6M,212.1K,3.9B,521.4K,7.7,16:08,30.61%
65,479,900.8K,569.3K,41.7K,773,10.2M,11.3K,4.8,10:04,42.79%
41,5K,57.7K,75.4K,4.7K,215,483.5K,5.2K,1.97,22:50,68.70%
43,2.7K,115.2K,37.3K,9.3K,247,166.4K,4K,2.43,8:26,65.15%
75,41,9.4M,2.7M,145.9K,1.2K,10.4M,20.2K,4.25,9:38,54.64%
60,1.3K,2.3M,839.5K,133.2K,839,7.1M,26K,4.17,15:04,47.60%
63,159,2.8M,245.7K,2.9M,32.9K,13.2M,9.5K,6.29,8:31,39.14%
89,355,34.8M,2.5M,32.2K,234,103.7M,108.8K,2.58,4:53,45.88%
46,629,665.6K,767.8K,13.3K,63,12.7M,6.5K,1.52,9:49,76.91%
69,58,6.9M,524.7K,1.1M,17.1K,10.1M,10.5K,2.87,13:41,59.93%
98,25,667.8M,80.4M,14.4K,205,1.2B,330.7K,3.4,11:26,54.05%
28,298.1K,17.7K,14.3K,348,10,49.6K,1.9K,2,10:37,54.27%
97,7.3K,203.4M,16.5M,335.9K,1.4K,198.8M,71.9K,3.55,15:05,41.53%
41,4.7K,62.2K,38.3K,485,2,990.5K,4.8K,2.26,7:48,65.05%
57,784.5K,1.2M,646.6K,75,1,4.2M,23.7K,1.57,8:16,78.47%
47,1.6K,224.4K,209.2K,5.2K,112,457.7K,6.3K,2.45,3:33,58.62%
100,9,2.8B,355.1M,21.1M,97.2K,96.4B,42M,4.55,28:40:00,36.38%
52,1.3K,271.9K,77.7K,0,0,34.9M,1.1K,2.73,3:27,77.47%
44,1.1K,322.6K,156.9K,951,8,8.1M,9.5K,1.93,7:19,75.05%
62,478,890.3K,203K,194.1K,2.1K,1.5M,3.6K,3.67,7:17,47.54%
97,11.6K,103.4M,11.4M,12.5K,45,81.2M,277.3K,1.42,7:59,81.10%
62,266,1.7M,333.8K,174.5K,2.4K,1.7M,2.9K,2.09,9:37,73.85%
90,822,34M,4.4M,2M,51.6K,152.6M,355.6K,2.59,7:34,53.03%
88,500,19.7M,3M,978.8K,13.8K,530.1M,196.1K,4.81,22:56,44.14%
100,14,2.5B,187.2M,1.3M,13.6K,55.6B,19.2M,2.99,25:30:00,54.01%
79,3.5K,7.6M,1.6M,73.9K,1.1K,99.5M,205.1K,2.56,13:37,65.32%
45,878,435.9K,26.4K,178.2K,731,150.4K,3.5K,3.92,2:34,21.83%
31,195.4K,9.5K,32.4K,199,15,2.1M,2.9K,1.84,6:41,65.43%
62,4.3K,1.7M,583.6K,5.2K,336,9.2M,38.3K,1.69,5:10,74.39%
45,839,469.3K,87.7K,6K,124,374.5K,4.2K,1.53,4:56,77.07%
65,182,2.5M,584.1K,1K,4,4.2M,21.1K,1.64,6:25,73.92%
60,179,2.6M,472.3K,312.3K,6K,4.1M,10.2K,2.48,8:31,63.98%
60,185,2.5M,471.2K,303.6K,5.7K,4.1M,10.2K,2.48,8:31,63.98%
34,1.1M,18.7K,12.3K,1.1K,35,60.1M,3K,3.17,10:12,57.57%
34,1.1M,18.7K,12.3K,1.1K,35,60.1M,3K,3.17,10:12,57.57%
51,943,395.6K,277.8K,17.6K,117,2.4M,3.3K,4.69,7:22,38.09%
83,961,18.7M,2.8M,967.6K,21.5K,100.6M,132.1K,3.45,10:10,46.15%
64,68,6.1M,464.1K,304K,7.1K,5.1M,9.5K,1.98,13:55,66.99%
85,993,21.6M,2.5M,1.6M,38.8K,67.6M,125.7K,2.43,6:06,58.31%
75,1.8K,6.6M,573K,25.2K,604,28M,85.9K,2.3,4:59,56.47%
76,16,21.1M,1.1M,2.6M,32.5K,4.3M,12.6K,3.57,9:25,48.45%
65,148,3.1M,370.5K,522.9K,6.1K,1.9M,9.4K,3.24,6:23,46.62%
47,1.7K,200.6K,16.5K,164.1K,834,33.6K,2.7K,3.84,4:05,49.96%
45,1.3K,286.1K,26.6K,60.1K,404,46.1K,2.7K,1.53,5:18,78.37%
89,1.2K,42.2M,976.7K,716.9K,1.8K,1.5B,141.6K,3.3,9:58,47.28%
100,70,334.7M,37.1M,4.7M,54.9K,11.4B,3.7M,1.84,9:31,65.91%
73,96,4.4M,994.2K,18.2K,303,11.3M,16.9K,3.59,10:10,51.74%
52,315,1.4M,274.7K,35.9K,174,4.2M,4.7K,3.32,6:07,45.99%
72,2.3K,5.7M,711.3K,120.4K,1.8K,44.3M,61.3K,2.49,6:23,52.07%
43,1.4K,261.6K,114.8K,8K,74,555.4K,5.7K,1.27,9:05,84.30%
61,233,1.9M,285.4K,440.5K,4.4K,1.1M,7.5K,1.48,8:50,81.39%
29,39.9K,4.8K,19.5K,104,4,63.1K,3.6K,1.9,6:05,72.63%
74,25.9K,3.5M,2.8M,108.5K,1.1K,49.7M,109.4K,5.03,10:24,44.29%
37,1.8K,189.9K,90.4K,7.1K,691,347.4K,4.5K,4.53,7:34,43.28%
83,1K,16.6M,1.9M,68.1K,336,64M,173K,2.31,6:37,57.07%
