Domain,Domain authority,SM_Ranking,Organic Trafic,Organic Keyword number,Paid Trafic,Paid keywords,Backlinks,Referring Domains,Pages/Visits,Average visit duration,Bounce rate
cyfrowe.pl,100,9,2.81E+11,35511000000,2111000000,9721000,9.64E+12,421000000,455,1720,0.3638
pclab.pl,100,14,2.51E+11,18721000000,131000000,1361000,5.56E+12,1921000000,299,1530,0.5401
techpolska.pl,100,2,91000000000,76141000000,2541000000,1041000,5.24E+12,181000000,407,2579,0.4127
morele.net,100,211,83781000000,12731000000,12481000000,331000000,1.23E+12,351000000,715,852,0.3232
gamefinity.pl,100,219,83121000000,1271000000,12411000000,331000000,1.23E+12,351000000,715,852,0.3232
userbenchmark.com,100,37,69631000000,7421000000,791000000,5321000,9.11E+11,451000000,222,590,0.6417
empik.com,98,25,66781000000,8041000000,1441000,205,1.21E+11,33071000,34,686,0.5405
allegro.pl,100,70,33471000000,3711000000,471000000,5491000,1.14E+12,371000000,184,571,0.6591
3kropki.pl,100,72,33371000000,3711000000,491000000,5621000,1.15E+12,371000000,184,571,0.6591
krzymark.pl,100,70,30031000000,1331000000,81000,69,2371000000,33011000,219,2206,0.5567
neonet.pl,98,491000,25141000000,1041000000,3981000000,12531000,51521000000,16761000,68,931,0.3157
notebookcheck.pl,97,731000,20341000000,1651000000,33591000,141000,19881000000,7191000,355,905,0.4153
purepc.pl,99,59,19541000000,2741000000,891000000,121000000,2.11E+11,3301000,554,889,0.3403
xgp.pl,100,341000,19271000000,431000000,1291000000,751000,24051000000,29091000,315,855,0.5282
mgsm.pl,100,111000,18071000000,2921000000,31561000,452,73651000000,72531000,23,659,0.583
mediamarkt.pl,94,3,15551000000,881000000,361000000,2841000,16221000000,891000,708,853,0.3215
telesalon.pl,100,169,13831000000,891000000,1221000000,16061000,21151000000,34861000,333,440,0.5297
laurem.pl,100,101,11041000000,841000000,161000000,381000,87151000000,23661000,258,366,0.5789
tradeinn.com,99,107,11031000000,841000000,161000000,371000,87631000000,23731000,258,366,0.5789
newegg.com,99,386,10771000000,711000000,73961000,671000,9171000000,38921000,364,953,0.2961
ithardware.pl,97,1161000,10341000000,1141000000,1251000,45,8121000000,27731000,142,479,0.811
antyweb.pl,100,151000,10241000000,6091000000,161000000,21211000,3.91E+11,52141000,77,968,0.3061
elektroda.pl,100,161000,10161000000,6071000000,161000000,20991000,3.91E+11,52211000,77,968,0.3061
komputery360.pl,96,181000,7161000000,1281000000,141000,106,5991000000,22241000,191,624,0.6707
mediaexpert.pl,96,143,6651000000,4031000000,461000000,2531000,87411000000,29031000,552,769,0.3968
amazon.in,96,145,6591000000,4031000000,461000000,2561000,87731000000,2911000,552,769,0.3968
sklep-papilio.pl,95,461000,6361000000,2531000000,601000,131000,29721000000,68251000,273,1673,0.6838
telepolis.pl,94,1051000,5341000000,1091000000,21000000,191000,4471000000,14961000,396,515,0.398
ccm.net,95,681,4831000000,3021000000,1431000,38,1.21E+11,151000000,192,984,0.6783
matryce.eu,93,418,4821000000,411000000,93681000,641000,25551000000,20361000,284,409,0.5499
polygamia.pl,92,271000,4341000000,1181000000,72461000,2441000,35291000000,14881000,909,1167,0.2559
abfoto.pl,91,8,4321000000,351000000,131000000,2191000,2351000000,1841000,442,883,0.3582
miastogier.pl,89,987,4241000000,97551000,71771000,181000,1.51E+11,14171000,33,598,0.4728
instrukcjaobslugipdf.pl,89,121000,4221000000,97671000,71691000,181000,1.51E+11,14161000,33,598,0.4728
smyk.com,90,164,3881000000,181000000,21000000,3931000,511000000,13621000,279,635,0.5533
ppe.pl,89,355,3481000000,251000000,3221000,234,10371000000,10881000,258,293,0.4588
sprzedajemy.pl,90,815,3411000000,441000000,21000000,5191000,1531000000,35621000,259,454,0.5302
amazon.pl,82,12,2791000000,541000000,81461000,1471000,97171000000,2471000,23,306,0.5526
fajerwerki.sklep.pl,93,551000,2691000000,1121000000,0,1,9191000000,17721000,242,699,0.671
laptop.bg,91,391000,2651000000,711000000,23651000,321000,33911000000,52411000,24,635,0.6262
asus.com,85,764,2241000000,411000000,191000000,491000,8541000000,21111000,37,588,0.4814
play.pl,85,993,2161000000,251000000,161000000,3881000,6761000000,12571000,243,366,0.5831
fostertechnologies.pl,85,11000,2151000000,251000000,161000000,3931000,6781000000,12591000,243,366,0.5831
sony.pl,76,16,2111000000,111000000,261000000,3251000,431000000,1261000,357,565,0.4845
hardreset.info,89,61000,2011000000,1721000000,6061000,622,45461000000,56071000,139,364,0.7909
opineo.pl,88,500,1971000000,31000000,97881000,1381000,53011000000,19611000,481,1376,0.4414
prorankingi.pl,88,544,1961000000,31000000,97971000,1391000,53231000000,19651000,481,1376,0.4414
sprzetowo.pl,86,221000,1921000000,1781000000,10531000,431000,20921000000,43221000,326,421,0.6183
bizserver.eu,83,941,1881000000,281000000,96891000,2191000,10091000000,13241000,345,610,0.4615
playstation.com,83,961,1871000000,281000000,96761000,2151000,10061000000,13211000,345,610,0.4615
naekranie.pl,88,351000,1841000000,381000000,7381000,11000,2521000000,16741000,382,331,0.3655
cyberbajt.pl,84,484,1781000000,151000000,33381000,221000,2341000000,3381000,1232,1056,0.241
net-s.pl,96,47,1731000000,1211000000,451000000,10711000,19611000000,32931000,726,709,0.3007
pancernik.eu,83,11000,1661000000,191000000,6811000,336,641000000,1731000,231,397,0.5707
senetic.pl,79,3961000,1471000000,121000000,11071000,113,711000000,7191000,16,1167,0.712
3mk.pl,82,351000,1411000000,991000000,2761000,796,12261000000,26961000,199,467,0.6909
shoplet.pl,100,162,1391000000,91000000,1181000000,16051000,20991000000,34751000,333,440,0.5297
lantre.pl,80,161000,1381000000,261000000,955,21,551000000,2761000,384,329,0.402
esus-it.pl,80,131000,1191000000,52491000,662,33,101000000,5081000,232,305,0.6221
techpowerup.com,80,255,1191000000,111000000,19791000,978,1081000000,3561000,218,807,0.5892
at-outlet.pl,85,551000,1161000000,1011000000,3611000,31000,45451000000,54051000,177,622,0.7459
techfresh.pl,82,814,1091000000,1041000000,16,1,2.71E+11,15521000,388,615,0.5426
spidersweb.pl,80,37,1051000000,72641000,66231000,641000,711000000,931000,215,462,0.5411
laphard.pl,79,211000,991000000,131000000,17471000,171000,91000000,8381000,171,438,0.6711
logitech.com,79,41,951000000,7291000,68781000,651000,721000000,931000,215,462,0.5411
instalki.pl,75,41,941000000,271000000,14591000,121000,1041000000,2021000,425,578,0.5464
inkhouse.pl,75,40,941000000,271000000,1501000,131000,1041000000,2031000,425,578,0.5464
newsblog.pl,79,46,891000000,15771000,6311000,196,86371000,231000,633,1684,0.2668
filmweb.pl,81,45,891000000,121000000,15,7,851000000,1411000,159,166,0.7024
